,Fuel Type,Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km]
5392,Petrol Electric,249.0,45.0,8.0,35.83783783783784
5393,Petrol Electric,494.0,49.0,10.0,35.83783783783784
5394,Petrol Electric,380.0,36.0,10.0,35.83783783783784
5395,Petrol Electric,351.0,30.0,15.0,35.83783783783784
5396,Petrol Electric,351.0,30.0,15.0,35.83783783783784
5397,Petrol Electric,313.0,34.0,17.0,35.83783783783784
5398,Petrol Electric,385.0,34.0,21.0,35.83783783783784
5399,Petrol Electric,385.0,34.0,21.0,35.83783783783784
5400,Petrol Electric,336.0,32.0,19.0,35.83783783783784
5401,Petrol Electric,351.0,30.0,15.0,35.83783783783784
5402,Petrol Electric,313.0,34.0,17.0,35.83783783783784
5403,Petrol,197.0,30.0,19.0,35.83783783783784
5404,Petrol,246.0,26.0,18.0,35.83783783783784
5405,Petrol,197.0,30.0,19.0,35.83783783783784
5406,Petrol,246.0,26.0,18.0,35.83783783783784
5407,Petrol,197.0,30.0,19.0,35.83783783783784
5408,Petrol,246.0,26.0,18.0,35.83783783783784
5409,Petrol Electric,182.0,14.0,2.0,35.83783783783784
5410,Petrol Electric,182.0,14.0,2.0,35.83783783783784
